,종목명,현재가,전일대비,변동률,시가,고가,저가,거래량,거래대금
0,KODEX 200선물인버스2X,"1,978",하락57,-2.80%,"1,989","2,000","1,974","149,763,566","297,463백만"
1,HB테크놀러지,"3,220",상승340,+11.81%,"3,340","3,555","3,115","83,588,287","277,852백만"
2,판타지오,332,상승76,+29.69%,257,332,252,"70,292,656","22,357백만"
3,KODEX 코스닥150선물인버스,"3,385",하락10,-0.29%,"3,360","3,420","3,330","45,921,830","155,117백만"
4,세화피앤씨,"1,066",하락78,-6.82%,"1,215","1,341","1,066","33,112,452","41,120백만"
5,하나마이크론,"33,300","상승5,800",+21.09%,"28,300","34,500","28,200","29,763,419","965,138백만"
6,윙입푸드,"1,589",보합,0.00%,"1,740","1,825","1,472","28,758,906","47,370백만"
7,KODEX 코스닥150레버리지,"12,120",상승10,+0.08%,"12,310","12,500","11,920","26,660,296","325,100백만"
8,삼성전자,"85,300","상승1,200",+1.43%,"85,200","85,500","84,300","24,810,196","2,109,924백만"
9,이구산업,"5,430",상승805,+17.41%,"4,925","5,540","4,825","23,908,551","127,490백만"
10,한국패러랠,289,하락12,-3.99%,301,339,281,"23,174,423","7,135백만"
11,KODEX 인버스,"4,080",하락55,-1.33%,"4,090","4,105","4,075","20,656,812","84,423백만"
12,디아이,"16,140","상승2,440",+17.81%,"13,550","17,200","13,350","20,601,609","321,192백만"
13,SDN,"1,373",상승146,+11.90%,"1,238","1,418","1,238","19,958,694","27,092백만"
14,씨엔알리서치,"1,603",하락74,-4.41%,"1,661","1,785","1,575","19,035,451","31,830백만"
